"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.13.100.338" -16.40859388 -71.49140304 "3" "12"
"1.13.100.270" -16.40942417 -71.49263212 "3" "11"
"1.13.100.273" -16.40902884 -71.49273336 "3" "11"
"1.13.100.411" -16.40664344 -71.49209558 "3" "16"
"1.13.100.454" -16.40646275 -71.4931721 "3" "17"
"1.13.100.370" -16.4081153 -71.49258823 "3" "13"
"1.13.100.272" -16.40916438 -71.49270967 "3" "11"
"1.13.100.271" -16.40927298 -71.49269148 "3" "11"
"1.13.100.339" -16.40861302 -71.49147127 "3" "12"
"1.13.100.322" -16.40826281 -71.49172793 "3" "12"
"1.13.100.283" -16.40883569 -71.49135227 "3" "11"
"1.13.100.302" -16.40926263 -71.49145887 "3" "11"
"1.13.100.342" -16.40868264 -71.49179282 "3" "12"
"1.13.100.413" -16.40666291 -71.49233955 "3" "16"
"1.13.100.281" -16.40888454 -71.49165265 "2" "11"
"1.13.100.445" -16.40624263 -71.49235462 "2" "17"
"1.13.100.343" -16.40869518 -71.4919364 "2" "12"
"1.13.100.376" -16.40739989 -71.4921968 "2" "14"
"1.13.100.350" -16.4081963 -71.49288296 "2" "13"
"1.13.100.371" -16.40808401 -71.49223574 "2" "14"
"1.13.100.372" -16.40796362 -71.49224294 "2" "14"
"1.13.100.353" -16.40779803 -71.49291741 "2" "13"
"1.13.100.356" -16.40754847 -71.49293866 "2" "13"
"1.13.100.352" -16.40789083 -71.49291718 "2" "13"
"1.13.100.375" -16.4074153 -71.49226649 "2" "14"
"1.13.100.206" -16.40608403 -71.49346415 "2" "8"
"1.13.100.357" -16.40745157 -71.49297054 "2" "13"
"1.13.100.355" -16.40764359 -71.49296038 "2" "13"
"1.13.100.207" -16.40619579 -71.49343133 "2" "8"
"1.13.100.204" -16.40606393 -71.49375795 "2" "8"
"1.13.100.208" -16.40632613 -71.49342669 "2" "8"
"1.13.100.203" -16.40614334 -71.49386727 "2" "8"
"1.13.100.209" -16.40645926 -71.49339733 "2" "8"
"1.13.100.202" -16.40620206 -71.49397802 "2" "8"
